catalog,page,section,table,row,column,column_label,column_group,value
agricultural,11,Retrofit Rubber Roof Jack,2,2,temperature_range,"TEMPERATURE
RANGE",DESCRIPTION,-65°F to +212°F
agricultural,11,Retrofit Rubber Roof Jack,2,2,pipe_size,PIPE SIZE,DESCRIPTION,"9%"" - 16%"""
agricultural,11,Retrofit Rubber Roof Jack,2,2,base_dim,BASE DIM.,DESCRIPTION,"21%2"""
agricultural,11,Retrofit Rubber Roof Jack,2,2,weight_each,WEIGHT EACH,DESCRIPTION,3.78#
agricultural,11,Retrofit Rubber Roof Jack,2,2,price,PRICE,,✓
agricultural,11,Retrofit Rubber Roof Jack,3,0,column_1,,,-100°F to +437°F
agricultural,11,Retrofit Rubber Roof Jack,3,0,high_temperatuf,HIGH TEMPERATUF,,"YQ"" _ A"""
agricultural,11,Retrofit Rubber Roof Jack,3,0,e,E,,"8 3/16"""
agricultural,11,Retrofit Rubber Roof Jack,3,0,column_4,,,.144
agricultural,11,Retrofit Rubber Roof Jack,3,0,column_5,,,✓
agricultural,11,Retrofit Rubber Roof Jack,3,1,column_1,,,-100°F to +437°F
agricultural,11,Retrofit Rubber Roof Jack,3,1,high_temperatuf,HIGH TEMPERATUF,,"4"" 9%"""
agricultural,11,Retrofit Rubber Roof Jack,3,1,e,E,,"14%"""
agricultural,11,Retrofit Rubber Roof Jack,3,1,column_4,,,2.20#
agricultural,11,Retrofit Rubber Roof Jack,3,1,column_5,,,✓
agricultural,11,Retrofit Rubber Roof Jack,3,2,column_1,,,-100°F to +437°F
agricultural,11,Retrofit Rubber Roof Jack,3,2,high_temperatuf,HIGH TEMPERATUF,,"9%"" - 16%"""
agricultural,11,Retrofit Rubber Roof Jack,3,2,e,E,,"21%"""
agricultural,11,Retrofit Rubber Roof Jack,3,2,column_4,,,3.78#
agricultural,11,Retrofit Rubber Roof Jack,3,2,column_5,,,✓
agricultural,12,Continuous Vent,0,0,part,PART #,DESCRIPTION,HW-702
agricultural,12,Continuous Vent,0,0,size,SIZE,DESCRIPTION,"9"" x 10'-0"""
agricultural,12,Continuous Vent,0,0,gauge,GAUGE,DESCRIPTION,26
agricultural,12,Continuous Vent,0,0,weight_each,WEIGHT EACH,DESCRIPTION,115.00#
agricultural,12,Continuous Vent,0,0,galvalume_plus,GALVALUME® PLUS,PRICED PER EACH,✓
agricultural,12,Continuous Vent,0,0,white,WHITE,PRICED PER EACH,✓
agricultural,12,Continuous Vent,0,1,part,PART #,DESCRIPTION,HW-704
agricultural,12,Continuous Vent,0,1,size,SIZE,DESCRIPTION,"12"" x 10'-0"""
